Id,Type,Source,SourceText,Name,DateArrival,DateDeparture,Nights,HouseName,InternalCode,House_Id,RoomTypes,People,DateCreated,TotalAmount,Currency,Status,Email,Phone,CountryName
OCT2025001,Booking,Airbnb,OCT001,Sushanty,2025-10-05,2025-10-07,2,"At Home in Madrid I, Centro de Madrid",,685243,At Home in Madrid I  Centro de Madrid,2,2025-09-16 12:00,300.00,EUR,Booked,sushanty@email.com,,Indonesia
OCT2025003,Booking,VRBO,OCT003,Kathy O.,2025-09-30,2025-10-03,3,"At Home in Madrid I, Centro de Madrid",,685243,At Home in Madrid I  Centro de Madrid,2,2025-09-16 12:00,450.00,EUR,Booked,kathy@email.com,,USA
OCT2025004,Booking,VRBO,OCT004,Keith C.,2025-10-09,2025-10-15,6,"At Home in Madrid I, Centro de Madrid",,685243,At Home in Madrid I  Centro de Madrid,2,2025-09-16 12:00,900.00,EUR,Booked,keith@email.com,,USA
OCT2025005,Booking,VRBO,OCT005,Roy C.,2025-10-17,2025-10-25,8,"At Home in Madrid I, Centro de Madrid",,685243,At Home in Madrid I  Centro de Madrid,2,2025-09-16 12:00,1200.00,EUR,Booked,roy@email.com,,USA
OCT2025007,Booking,Airbnb,OCT007,John,2025-09-15,2025-10-20,35,"At Home in Madrid II, Centro, Prado, Barrio Letras",,685242,At Home in Madrid II  Centro  Prado  Barrio Letras,2,2025-09-16 12:00,5250.00,EUR,Booked,john@email.com,,UK
OCT2025008,Booking,Airbnb,OCT008,Murilo,2025-10-21,2025-10-24,3,"At Home in Madrid II, Centro, Prado, Barrio Letras",,685242,At Home in Madrid II  Centro  Prado  Barrio Letras,2,2025-09-16 12:00,450.00,EUR,Booked,murilo@email.com,,Brazil
OCT2025011,Booking,Airbnb,OCT011,Sushanty,2025-10-03,2025-10-05,2,"At Home in Madrid III, Centro, Prado, BarrioLetras",,685244,At Home in Madrid III  Centro  Prado  BarrioLetras,2,2025-09-16 12:00,300.00,EUR,Booked,sushanty@email.com,,Indonesia
OCT2025012,Booking,Airbnb,OCT012,Jane,2025-10-05,2025-10-09,4,"At Home in Madrid III, Centro, Prado, BarrioLetras",,685244,At Home in Madrid III  Centro  Prado  BarrioLetras,2,2025-09-16 12:00,600.00,EUR,Booked,jane@email.com,,USA
OCT2025013,Booking,Airbnb,OCT013,Ann,2025-10-10,2025-10-17,7,"At Home in Madrid III, Centro, Prado, BarrioLetras",,685244,At Home in Madrid III  Centro  Prado  BarrioLetras,2,2025-09-16 12:00,1050.00,EUR,Booked,ann@email.com,,USA
OCT2025016,Booking,VRBO,OCT016,Kathy,2025-09-30,2025-10-03,3,"At Home in Madrid III, Centro, Prado, BarrioLetras",,685244,At Home in Madrid III  Centro  Prado  BarrioLetras,2,2025-09-16 12:00,450.00,EUR,Booked,kathy@email.com,,USA
OCT2025017,Booking,VRBO,OCT017,Andrea,2025-10-17,2025-10-25,8,"At Home in Madrid III, Centro, Prado, BarrioLetras",,685244,At Home in Madrid III  Centro  Prado  BarrioLetras,2,2025-09-16 12:00,1200.00,EUR,Booked,andrea@email.com,,USA
OCT2025018,Booking,Airbnb,OCT018,Don,2025-09-29,2025-10-05,6,"At Home in Madrid IV, Centro, Prado, Barrio Letras",,685245,At Home in Madrid IV  Centro  Prado  Barrio Letras,2,2025-09-16 12:00,900.00,EUR,Booked,don@email.com,,USA
OCT2025019,Booking,Airbnb,OCT019,Olivia,2025-10-07,2025-10-10,3,"At Home in Madrid IV, Centro, Prado, Barrio Letras",,685245,At Home in Madrid IV  Centro  Prado  Barrio Letras,2,2025-09-16 12:00,450.00,EUR,Booked,olivia@email.com,,USA
OCT2025020,Booking,Airbnb,OCT020,John,2025-10-10,2025-10-14,4,"At Home in Madrid IV, Centro, Prado, Barrio Letras",,685245,At Home in Madrid IV  Centro  Prado  Barrio Letras,2,2025-09-16 12:00,600.00,EUR,Booked,john@email.com,,USA
OCT2025021,Booking,Airbnb,OCT021,Gregg,2025-10-14,2025-10-18,4,"At Home in Madrid IV, Centro, Prado, Barrio Letras",,685245,At Home in Madrid IV  Centro  Prado  Barrio Letras,2,2025-09-16 12:00,600.00,EUR,Booked,gregg@email.com,,USA
OCT2025022,Booking,Airbnb,OCT022,Caro,2025-10-18,2025-10-21,3,"At Home in Madrid IV, Centro, Prado, Barrio Letras",,685245,At Home in Madrid IV  Centro  Prado  Barrio Letras,2,2025-09-16 12:00,450.00,EUR,Booked,caro@email.com,,Spain
OCT2025023,Booking,Airbnb,OCT023,Pablo Antonio,2025-09-28,2025-10-01,3,"At Home in Madrid V, Centro, Prado, Barrio Letras",,685246,At Home in Madrid V  Centro  Prado  Barrio Letras,2,2025-09-16 12:00,450.00,EUR,Booked,pablo@email.com,,Spain
OCT2025024,Booking,Airbnb,OCT024,Jimin Park,2025-10-06,2025-10-09,3,"At Home in Madrid V, Centro, Prado, Barrio Letras",,685246,At Home in Madrid V  Centro  Prado  Barrio Letras,2,2025-09-16 12:00,450.00,EUR,Booked,jimin@email.com,,South Korea
OCT2025025,Booking,Airbnb,OCT025,Maria Karla,2025-10-09,2025-10-12,3,"At Home in Madrid V, Centro, Prado, Barrio Letras",,685246,At Home in Madrid V  Centro  Prado  Barrio Letras,2,2025-09-16 12:00,450.00,EUR,Booked,maria@email.com,,Brazil
OCT2025026,Booking,Airbnb,OCT026,Craig,2025-10-13,2025-10-16,3,"At Home in Madrid V, Centro, Prado, Barrio Letras",,685246,At Home in Madrid V  Centro  Prado  Barrio Letras,2,2025-09-16 12:00,450.00,EUR,Booked,craig@email.com,,USA
OCT2025027,Booking,Airbnb,OCT027,Alli,2025-10-16,2025-10-18,2,"At Home in Madrid V, Centro, Prado, Barrio Letras",,685246,At Home in Madrid V  Centro  Prado  Barrio Letras,2,2025-09-16 12:00,300.00,EUR,Booked,alli@email.com,,USA
OCT2025029,Booking,VRBO,OCT029,Linda,2025-10-03,2025-10-05,2,"At Home in Madrid V, Centro, Prado, Barrio Letras",,685246,At Home in Madrid V  Centro  Prado  Barrio Letras,2,2025-09-16 12:00,300.00,EUR,Booked,linda@email.com,,USA
OCT2025030,Booking,VRBO,OCT030,Steven,2025-10-18,2025-10-22,4,"At Home in Madrid V, Centro, Prado, Barrio Letras",,685246,At Home in Madrid V  Centro  Prado  Barrio Letras,2,2025-09-16 12:00,600.00,EUR,Booked,steven@email.com,,USA
OCT2025031,Booking,Airbnb,OCT031,Julia,2025-10-01,2025-10-04,3,"At Home in Madrid VI, Centro, Prado, Barrio Letras",,685241,At Home in Madrid VI  Centro  Prado  Barrio Letras,2,2025-09-16 12:00,450.00,EUR,Booked,julia@email.com,,Brazil
OCT2025032,Booking,Airbnb,OCT032,Nurit,2025-10-09,2025-10-15,6,"At Home in Madrid VI, Centro, Prado, Barrio Letras",,685241,At Home in Madrid VI  Centro  Prado  Barrio Letras,2,2025-09-16 12:00,900.00,EUR,Booked,nurit@email.com,,Israel
OCT2025033,Booking,Airbnb,OCT033,Sa Gao,2025-10-18,2025-10-21,3,"At Home in Madrid VI, Centro, Prado, Barrio Letras",,685241,At Home in Madrid VI  Centro  Prado  Barrio Letras,2,2025-09-16 12:00,450.00,EUR,Booked,sa@email.com,,China
OCT2025035,Booking,VRBO,OCT035,Belinda,2025-10-04,2025-10-08,4,"At Home in Madrid VI, Centro, Prado, Barrio Letras",,685241,At Home in Madrid VI  Centro  Prado  Barrio Letras,2,2025-09-16 12:00,600.00,EUR,Booked,belinda@email.com,,Australia
