Id,Type,Source,SourceText,Name,DateArrival,DateDeparture,Nights,HouseName,InternalCode,House_Id,RoomTypes,People,DateCreated,TotalAmount,Currency,Status,Email,Phone,CountryName
SEP2025001,Booking,Airbnb,SEPT001,Alberto,2025-09-01,2025-09-09,8,"At Home in Madrid II, Centro, Prado, Barrio Letras",,685242,At Home in Madrid II  Centro  Prado  Barrio Letras,2,2025-08-15 12:00,1200.00,EUR,Booked,alberto@email.com,,Spain
SEP2025002,Booking,Airbnb,SEPT002,Vladimir,2025-09-09,2025-09-12,3,"At Home in Madrid II, Centro, Prado, Barrio Letras",,685242,At Home in Madrid II  Centro  Prado  Barrio Letras,2,2025-08-15 12:00,500.00,EUR,Booked,vladimir@email.com,,Russia
SEP2025003,Booking,Airbnb,SEPT003,Saige,2025-09-13,2025-09-15,2,"At Home in Madrid II, Centro, Prado, Barrio Letras",,685242,At Home in Madrid II  Centro  Prado  Barrio Letras,2,2025-08-15 12:00,350.00,EUR,Booked,saige@email.com,,USA
SEP2025004,Booking,Airbnb,SEPT004,John,2025-09-15,2025-10-20,35,"At Home in Madrid II, Centro, Prado, Barrio Letras",,685242,At Home in Madrid II  Centro  Prado  Barrio Letras,2,2025-08-15 12:00,5000.00,EUR,Booked,john@email.com,,UK
SEP2025005,Booking,Airbnb,SEPT005,Beth,2025-08-30,2025-09-03,4,"At Home in Madrid III, Centro, Prado, BarrioLetras",,685244,At Home in Madrid III  Centro  Prado  BarrioLetras,2,2025-08-15 12:00,600.00,EUR,Booked,beth@email.com,,USA
SEP2025006,Booking,Airbnb,SEPT006,Vanisha,2025-09-03,2025-09-05,2,"At Home in Madrid III, Centro, Prado, BarrioLetras",,685244,At Home in Madrid III  Centro  Prado  BarrioLetras,2,2025-08-15 12:00,300.00,EUR,Booked,vanisha@email.com,,India
SEP2025007,Booking,Airbnb,SEPT007,Pepe,2025-09-14,2025-09-24,10,"At Home in Madrid III, Centro, Prado, BarrioLetras",,685244,At Home in Madrid III  Centro  Prado  BarrioLetras,3,2025-08-15 12:00,1500.00,EUR,Booked,pepe@email.com,,Spain
SEP2025008,Booking,Airbnb,SEPT008,Maria,2025-09-27,2025-09-30,3,"At Home in Madrid III, Centro, Prado, BarrioLetras",,685244,At Home in Madrid III  Centro  Prado  BarrioLetras,2,2025-08-15 12:00,450.00,EUR,Booked,maria@email.com,,Spain
SEP2025009,Booking,Airbnb,SEPT009,Nicola,2025-09-09,2025-09-12,3,"At Home in Madrid IV, Centro, Prado, Barrio Letras",,685245,At Home in Madrid IV  Centro  Prado  Barrio Letras,2,2025-08-15 12:00,500.00,EUR,Booked,nicola@email.com,,Italy
SEP2025010,Booking,Airbnb,SEPT010,Kelly,2025-09-12,2025-09-15,3,"At Home in Madrid IV, Centro, Prado, Barrio Letras",,685245,At Home in Madrid IV  Centro  Prado  Barrio Letras,2,2025-08-15 12:00,500.00,EUR,Booked,kelly@email.com,,USA
SEP2025011,Booking,Airbnb,SEPT011,Sarah,2025-09-04,2025-09-06,2,"At Home in Madrid V, Centro, Prado, Barrio Letras",,685246,At Home in Madrid V  Centro  Prado  Barrio Letras,2,2025-08-15 12:00,300.00,EUR,Booked,sarah@email.com,,UK
